date,TICKER,PRC,RET,SHROUT,MV_USD,MV_USD_lag
2020-01-31,BCML,22.46,-0.012313,12445.0,279514.7,282999.3
2020-02-28,BCML,21.31,-0.051202,12325.0,262645.75,279514.7
2020-03-31,BCML,12.05,-0.434538,12230.0,147371.5,262645.75
2020-04-30,BCML,12.33,0.023236,12230.0,150795.9,147371.5
2020-05-29,BCML,13.18,0.068938,12230.0,161191.4,150795.9
2020-06-30,BCML,12.91,-0.020486,11870.0,153241.7,161191.4
2020-07-31,BCML,10.28,-0.203718,11892.0,122249.76,153241.7
2020-08-31,BCML,11.585,0.126946,11892.0,137768.82,122249.76
2020-09-30,BCML,10.3,-0.110919,11833.0,121879.9,137768.82
2020-10-30,BCML,11.1,0.07767,11833.0,131346.3,121879.9
2020-11-30,BCML,14.4,0.297297,11833.0,170395.2,131346.3
2020-12-31,BCML,15.17,0.053472,11295.0,171345.15,170395.2
2021-01-29,BCML,14.7,-0.030982,11295.0,166036.5,171345.15
2021-02-26,BCML,17.09,0.162585,11295.0,193031.55,166036.5
2021-03-31,BCML,18.02,0.054418,11187.0,201589.74,193031.55
2021-04-30,BCML,18.09,0.003885,10951.0,198103.59,201589.74
2021-05-28,BCML,18.52,0.02377,10908.0,202016.16,198103.59
2021-06-30,BCML,17.95,-0.030778,10699.0,192047.05,202016.16
2021-07-30,BCML,18.3,0.019499,10699.0,195791.7,192047.05
2021-08-31,BCML,17.31,-0.054098,10693.0,185095.83,195791.7
2021-09-30,BCML,18.6,0.074523,10686.0,198759.6,185095.83
2021-10-29,BCML,18.89,0.015591,10686.0,201858.54,198759.6
2021-11-30,BCML,18.21,-0.035998,10686.0,194592.06,201858.54
2021-12-31,BCML,18.76,0.030203,10680.0,200356.8,194592.06
2020-03-31,BIPC,32.54,,46500.0,1513110.0,
2020-04-30,BIPC,41.86,0.286417,46500.0,1946490.0,1513110.0
2020-05-29,BIPC,43.4,0.048376,46500.0,2018100.0,1946490.0
2020-06-30,BIPC,45.54,0.049309,46500.0,2117610.0,2018100.0
2020-07-31,BIPC,45.64,0.002196,46500.0,2122260.0,2117610.0
2020-08-31,BIPC,49.92,0.104404,46500.0,2321280.0,2122260.0
2020-09-30,BIPC,55.39,0.109575,46500.0,2575635.0,2321280.0
2020-10-30,BIPC,54.47,-0.016609,45023.0,2452402.81,2575635.0
2020-11-30,BIPC,66.65,0.232513,44987.0,2998383.5500000003,2452402.81
2020-12-31,BIPC,72.3,0.084771,44987.0,3252560.1,2998383.5500000003
2021-01-29,BIPC,67.08,-0.072199,44987.0,3017727.96,3252560.1
2021-02-26,BIPC,66.22,-0.005218,44960.0,2977251.2,3017727.96
2021-03-31,BIPC,76.37,0.153277,44960.0,3433595.2,2977251.2
2021-04-30,BIPC,72.03,-0.056829,44960.0,3238468.8000000003,3433595.2
2021-05-28,BIPC,71.58,0.000833,44950.0,3217521.0,3238468.8000000003
2021-06-30,BIPC,75.4,0.053367,44950.0,3389230.0000000005,3217521.0
2021-07-30,BIPC,64.76,-0.141114,44950.0,2910962.0,3389230.0000000005
2021-08-31,BIPC,63.6,-0.010037,44950.0,2858820.0,2910962.0
2021-09-30,BIPC,59.88,-0.058491,44950.0,2691606.0,2858820.0
2021-10-29,BIPC,60.64,0.012692,44950.0,2725768.0,2691606.0
2021-11-30,BIPC,59.19,-0.015501,44950.0,2660590.5,2725768.0
2021-12-31,BIPC,68.26,0.153235,44950.0,3068287.0,2660590.5
2021-05-28,ALF,2.83,,11795.0,33379.85,
2021-06-30,ALF,14.72,4.201414,16053.0,236300.16,33379.85
2021-07-30,ALF,9.77,-0.336277,16053.0,156837.81,236300.16
2021-08-31,ALF,8.9,-0.089048,16174.0,143948.6,156837.81
2021-09-30,ALF,6.56,-0.262921,16069.0,105412.64,143948.6
2021-10-29,ALF,4.42,-0.326219,16069.0,71024.98,105412.64
2021-11-30,ALF,3.78,-0.144796,16069.0,60740.82,71024.98
2021-12-31,ALF,2.3,-0.391534,16069.0,36958.7,60740.82
2020-01-31,ALKS,17.41,-0.146569,157779.0,2746932.39,3218691.6
2020-02-28,ALKS,20.84,0.197013,157787.0,3288281.08,2746932.39
2020-03-31,ALKS,14.42,-0.308061,158685.0,2288237.7,3288281.08
2020-04-30,ALKS,13.71,-0.049237,158739.0,2176311.69,2288237.7
2020-05-29,ALKS,16.36,0.19329,158739.0,2596970.04,2176311.69
2020-06-30,ALKS,19.405,0.186125,159028.0,3085938.3400000003,2596970.04
2020-07-31,ALKS,18.01,-0.071889,159044.0,2864382.4400000004,3085938.3400000003
2020-08-31,ALKS,16.54,-0.081621,159044.0,2630587.76,2864382.4400000004
2020-09-30,ALKS,16.57,0.001814,159105.0,2636369.85,2630587.76
2020-10-30,ALKS,16.25,-0.019312,159150.0,2586187.5,2636369.85
2020-11-30,ALKS,18.26,0.123692,159150.0,2906079.0000000005,2586187.5
2020-12-31,ALKS,19.95,0.092552,160452.0,3201017.4,2906079.0000000005
2021-01-29,ALKS,20.99,0.05213,160452.0,3367887.48,3201017.4
2021-02-26,ALKS,19.04,-0.092901,159238.0,3031891.52,3367887.48
2021-03-31,ALKS,18.68,-0.018908,160198.0,2992498.64,3031891.52
2021-04-30,ALKS,22.005,0.177998,160452.0,3530746.26,2992498.64
2021-05-28,ALKS,22.67,0.03022,160452.0,3637446.84,3530746.26
2021-06-30,ALKS,24.52,0.081606,161296.0,3954977.92,3637446.84
2021-07-30,ALKS,25.87,0.055057,161332.0,4173658.84,3954977.92
2021-08-31,ALKS,31.26,0.208349,161332.0,5043238.32,4173658.84
2021-09-30,ALKS,30.84,-0.013436,161686.0,4986396.24,5043238.32
2021-10-29,ALKS,30.29,-0.017834,161705.0,4898044.45,4986396.24
2021-11-30,ALKS,21.92,-0.276329,161705.0,3544573.6,4898044.45
2021-12-31,ALKS,23.26,0.061131,163427.0,3801312.020000001,3544573.6
2020-01-31,AUB,33.69,-0.102796,80001.0,2695233.69,3004037.55
2020-02-28,AUB,29.74,-0.109825,79217.0,2355913.58,2695233.69
2020-03-31,AUB,21.9,-0.263618,78710.0,1723749.0,2355913.58
2020-04-30,AUB,23.87,0.089954,78709.0,1878783.83,1723749.0
2020-05-29,AUB,23.15,-0.01969,78709.0,1822113.35,1878783.83
2020-06-30,AUB,23.16,0.000432,78713.0,1822993.08,1822113.35
2020-07-31,AUB,22.57,-0.025475,78712.0,1776529.84,1822993.08
2020-08-31,AUB,23.26,0.041648,78712.0,1830841.12,1776529.84
